url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-puente-aranda-bogota/193506520,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:20.417338+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-chapinero-bogota/191102322,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:20.432809+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chapinero-alto-bogota/193353090,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:20.887565+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-santa-ana-oriental-bogota/193555567,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:20.920199+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-fontibon-bogota/191955675,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:20.944209+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-belalcazar-bogota/10276235,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:20.950921+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-teusaquillo-bogota/192857773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:21.173927+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bosque-de-pinos-bogota/10769713,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:21.208583+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-los-rosales-bogota/193615204,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:21.252622+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.400.000 | $ 450.000.000 | $ 1.480.000.000 | $ 9.500.000 | $ 465.000.000 | $ 2.500.000 | $ 264.000.000 | $ 750.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-04-17 06:38:21.266794+00:00
