url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-san-luis-bogota/193460519,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.710194+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193486848,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:36.766887+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193267147,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:37.303604+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chapinero-bogota/193063091,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:37.344394+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-sucre-bogota/192750211,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:37.352705+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193409625,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:37.424414+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193350926,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:37.430888+00:00
https://www.fincaraiz.com.co//bodega-en-arriendo-en-fontibon-bogota/193017021,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:37.472973+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-el-chico-bogota/193378438,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:37.582317+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 3.300.000.000 | $ 350.000.000 | $ 760.000.000 | $ 3.000.000 | $ 230.000.000 | $ 400.000.000 | $ 950.000.000 | $ 8.892.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-03-31 00:23:37.604045+00:00
