url,information,date_time
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/193344539,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:18.928211+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-las-nieves-bogota/192901073,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.024429+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-villa-del-prado-bogota/193124201,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.533897+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-la-castellana-bogota/193290774,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.541100+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-chico-reservado-bogota/192291972,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.624074+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-chico-bogota/192601892,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.651347+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-unicentro-bogota-bogota/193282469,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.705562+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-montevideo-bogota/193320151,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.830518+00:00
https://www.fincaraiz.com.co//edificio-en-arriendo-en-la-castellana-bogota/192890904,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.872828+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-chapinero-bogota/192246598,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.000.000 | $ 8.500.000.000 | $ 3.800.000 | $ 35.000.000 | $ 419.000.000 | $ 341.400.000 | $ 820.000.000 | $ 245.066.230', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-05 18:18:19.889976+00:00
