url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193350926,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:06.778240+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-victoria-norte-bogota/193375951,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:06.965688+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-toberin-bogota/193146962,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:07.354258+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-paredes-bogota/193291243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:07.402400+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192217506,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:07.433959+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cerros-de-suba-bogota/192648174,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:07.585571+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-reservado-bogota/193174528,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:07.643513+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-rionegro-bogota/193115062,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:07.715395+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-paula-bogota/192123067,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:07.946983+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-la-fraguita-bogota/193147823,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 2.300.000 | $ 800.000 | $ 97.580.000 | $ 180.000.000 | $ 560.000.000 | $ 550.000.000 | $ 40.000.000 | $ 1.800.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-02-19 06:23:08.028122+00:00
