url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-bogota/7242367,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:31.515036+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-mirandela-bogota/193638834,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:31.803893+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193573400,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:32.337938+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-quinta-paredes-bogota/193291243,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:32.410917+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/10924799,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:32.609970+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193670348,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:32.664213+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193685923,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:32.676695+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-milenta-bogota/193001187,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:32.849226+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-chico-norte-bogota/193427433,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:33.067427+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-usaquen-bogota/193685063,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 404.933.190 | $ 2.000.000 | $ 1.650.000 | $ 1.100.000.000 | $ 590.000.000 | $ 700.000.000 | $ 350.000.000 | $ 485.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-06 00:32:33.987494+00:00
