url,information,date_time
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193270766,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.006419+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-mazuren-bogota/193020122,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.015809+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-ana-oriental-bogota/193120932,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.410541+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chapinero-bogota/193175444,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.499246+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/192588248,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.520839+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-multicentro-bogota/192995644,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.599884+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-morato-bogota/193190693,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.636301+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-santa-paula-bogota/193290607,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.646069+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-el-redil-bogota/193185971,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.720729+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-la-cabana-fontibon-bogota/193246555,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 490.000.000 | $ 2.500.000.000 | $ 3.300.000 | $ 20.000.000 | $ 770.000.000 | $ 1.500.000.000 | $ 1.900.000 | $ 2.150.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-01-22 12:08:00.793589+00:00
