url,information,date_time
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-navarra-bogota/193486845,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:55.782811+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/193673175,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:56.326795+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-las-ferias-bogota/193424704,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:56.419797+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-bogota/193687683,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:56.436110+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/193708948,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:56.488078+00:00
https://www.fincaraiz.com.co//casa-en-arriendo-en-la-esmeralda-bogota/193468903,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:56.512463+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-colina-campestre-bogota/193697974,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:56.546709+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-santa-barbara-bogota/193124921,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:56.563990+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193808876,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:56.673567+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-candelaria-bogota/193716943,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 1.348.000.000 | $ 425.000.000 | $ 535.000.000 | $ 535.000.000 | $ 218.000.000 | $ 790.000.000 | $ 305.000.000 | $ 263.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-28 07:19:57.322123+00:00
