url,information,date_time
https://www.fincaraiz.com.co//casa-en-arriendo-en-cerros-de-niza-bogota/193735325,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:37.500261+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-bogota/193699189,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:37.524038+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-niza-bogota/193693715,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:38.213524+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-cedritos-bogota/193654082,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:38.244556+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-emaus-bogota/193507768,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:38.293688+00:00
https://www.fincaraiz.com.co//apartaestudio-en-arriendo-en-bosque-de-pinos-bogota/193592294,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:38.307403+00:00
https://www.fincaraiz.com.co//oficina-en-arriendo-en-chico-norte-bogota/191878773,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:38.325562+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-la-victoria-bogota/193297384,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:38.566580+00:00
https://www.fincaraiz.com.co//apartamento-en-arriendo-en-santa-barbara-occidental-bogota/192750095,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:38.575252+00:00
https://www.fincaraiz.com.co//local-en-arriendo-en-olaya-bogota/7092019,"{'title': 'Lo mejor de buscar es encontrar', 'pricing': '$ 184.000.000 | $ 225.000.000 | $ 230.000.000 | $ 3.000.000 | $ 420.000.000 | $ 400.000.000 | $ 1.180.000.000 | $ 230.000.000', 'bedrooms': None, 'bathrooms': None, 'area': None, 'location': None, 'details': [{'key_0': 'Nuestros filtros te permiten encontrar la propiedad que estás buscando en el menor tiempo posible.'}]}",2026-05-14 00:38:38.698845+00:00
